Data;Categoria;Quantidade;Valor
08/11/2023;Receita;36;3,365,61
02/04/2023;Receita;86;2,912,93
23/06/2024;Receita;47;2,475,97
18/11/2024;Receita;84;1,364,69
18/03/2023;Receita;60;4,891,94
11/02/2024;Receita;78;1,226,83
24/07/2024;Receita;31;2,936,09
16/10/2024;Despesa;59;3,453,38
10/11/2024;Receita;78;3,208,42
11/01/2024;Receita;80;2,948,85
07/01/2023;Despesa;86;3,789,30
05/10/2023;Receita;20;4,892,89
23/01/2023;Despesa;35;2,624,10
31/10/2023;Despesa;68;3,153,19
02/03/2023;Receita;63;4,612,92
07/12/2023;Receita;57;3,438,73
29/12/2024;Despesa;69;1,235,22
16/02/2024;Receita;61;2,616,10
05/10/2023;Despesa;50;3,842,08
17/09/2024;Receita;79;4,043,57
03/02/2023;Receita;27;4,619,51
23/07/2023;Receita;52;1,367,71
23/04/2024;Despesa;39;3,684,26
17/11/2023;Receita;69;4,957,39
20/12/2024;Receita;50;2,563,87
06/07/2024;Despesa;30;2,158,58
20/08/2023;Despesa;39;4,658,21
01/11/2024;Receita;41;2,116,90
13/04/2023;Despesa;76;1,551,22
18/11/2024;Receita;70;2,921,98
22/12/2024;Despesa;68;3,148,28
20/03/2024;Receita;97;2,587,29
30/04/2024;Receita;37;2,085,96
09/06/2023;Despesa;54;2,216,36
30/11/2023;Receita;25;3,918,24
13/07/2023;Despesa;45;3,690,95
16/11/2024;Despesa;52;2,511,72
14/03/2023;Receita;27;2,539,79
21/10/2023;Despesa;83;4,928,01
08/01/2024;Despesa;20;4,131,42
11/04/2023;Despesa;81;1,625,94
30/09/2024;Receita;24;2,480,52
31/05/2023;Receita;41;3,019,39
21/01/2023;Despesa;49;1,945,66
04/07/2023;Despesa;75;1,590,96
09/2024/22;Despesa;85;2,229,90
12/07/2024;Despesa;20;2,876,76
02/01/2024;Receita;36;4,527,15
21/09/2023;Receita;46;2,173,46
01/12/2024;Receita;54;2,074,03
12/09/2024;Receita;27;2,274,93
24/11/2023;Despesa;34;3,920,87
14/11/2024;Receita;99;3,737,55
06/04/2023;Despesa;55;2,628,04
28/02/2023;Despesa;77;4,810,47
07/02/2024;Despesa;27;1,621,22
23/11/2024;Receita;72;2,446,45
14/07/2024;Despesa;33;3,296,97
27/10/2024;Receita;49;2,089,83
06/10/2023;Receita;87;2,342,25
26/01/2023;Despesa;86;3,497,65
30/10/2024;Despesa;29;2,784,86
12/02/2023;Receita;27;1,429,60
09/02/2024;Receita;52;3,021,50
29/05/2024;Receita;34;4,738,38
14/03/2024;Receita;94;4,248,15
08/03/2023;Receita;57;2,756,25
29/07/2023;Despesa;27;2,782,89
15/06/2024;Despesa;47;1,965,54
16/02/2023;Despesa;99;1,600,74
19/01/2023;Despesa;74;1,302,85
15/12/2024;Despesa;82;4,227,81
12/11/2024;Despesa;23;4,421,65
09/11/2024;Receita;71;4,594,21
03/11/2023;Receita;93;4,864,98
27/04/2024;Despesa;39;3,070,26
19/08/2023;Receita;54;1,315,23
21/11/2024;Despesa;29;2,751,98
16/05/2023;Receita;90;2,799,77
31/01/2024;Despesa;57;3,640,92
01/03/2023;Despesa;23;3,492,65
08/04/2024;Despesa;81;4,688,54
24/01/2023;Despesa;100;1,269,38
31/05/2023;Despesa;23;1,649,48
08/04/2024;Despesa;80;2,730,69
14/02/2023;Despesa;47;3,810,85
28/04/2023;Despesa;37;1,453,01
28/01/2024;Receita;20;2,892,18
01/03/2023;Receita;35;3,845,42
16/08/2023;Despesa;85;3,366,55
04/12/2023;Despesa;74;3,706,62
22/06/2023;Despesa;68;4,737,79
28/04/2024;Despesa;51;3,902,27
11/11/2023;Despesa;76;3,686,62
02/02/2024;Despesa;89;2,453,92
06/05/2024;Receita;22;1,828,80
03/07/2023;Receita;22;2,027,54
14/08/2024;Receita;62;4,855,37
12/11/2024;Receita;26;2,645,12
26/03/2023;Despesa;80;4,779,21
03/08/2023;Receita;89;2,298,90
06/06/2024;Despesa;50;3,741,35
01/03/2024;Receita;37;2,369,69
05/12/2023;Despesa;29;2,318,82
07/01/2023;Receita;96;4,598,65
09/02/2024;Despesa;29;4,280,13
16/09/2024;Receita;41;1,530,00
29/06/2024;Despesa;95;2,650,64
23/03/2024;Despesa;58;2,034,69
26/11/2024;Receita;82;1,864,28
26/08/2023;Receita;84;2,096,43
15/11/2024;Receita;40;3,797,52
23/09/2023;Receita;91;4,923,78
11/04/2024;Receita;21;3,841,36
03/12/2024;Despesa;27;1,180,57
07/02/2024;Despesa;34;2,681,47
04/04/2024;Receita;80;3,757,80
27/07/2024;Receita;97;2,438,70
08/06/2023;Receita;48;1,956,85
16/02/2023;Despesa;94;2,115,81
09/01/2024;Receita;81;2,922,11
05/11/2024;Despesa;85;2,395,30
10/07/2024;Despesa;96;1,608,09
10/11/2023;Receita;77;1,270,47
04/08/2023;Receita;37;2,717,73
30/08/2023;Receita;57;2,494,47
19/02/2024;Receita;46;3,326,03
24/12/2023;Despesa;67;1,372,18
08/05/2024;Despesa;72;3,314,82
30/05/2024;Despesa;42;3,498,69
17/03/2023;Receita;29;3,338,52
24/01/2024;Despesa;81;3,609,99
11/05/2024;Despesa;60;3,674,81
26/04/2023;Receita;90;1,538,06
22/06/2024;Despesa;24;2,312,60
01/01/2024;Despesa;76;4,476,58
01/10/2023;Despesa;34;3,296,23
15/05/2024;Despesa;55;1,012,58
30/06/2023;Receita;58;2,056,28
29/11/2024;Receita;63;3,443,57
27/12/2024;Receita;39;1,214,24
28/01/2024;Receita;26;1,523,69
29/03/2024;Despesa;78;1,808,49
19/01/2023;Despesa;30;2,334,68
24/04/2024;Despesa;69;1,389,36
29/02/2024;Despesa;38;1,226,45
09/09/2024;Despesa;78;3,817,12
27/06/2023;Despesa;51;" 1,793,11"
24/12/2023;Despesa;95;4,219,91
13/06/2024;Receita;82;3,254,45
04/02/2023;Receita;91;3,460,95
11/08/2023;Despesa;36;1,277,11
15/05/2024;Despesa;41;1,795,12
12/06/2024;Despesa;63;3,903,39
30/03/2023;Despesa;77;2,897,96
19/03/2023;Despesa;27;3,396,98
20/12/2023;Receita;31;4,416,95
17/01/2024;Despesa;98;3,484,71
24/04/2023;Receita;39;2,430,77
15/02/2023;Receita;27;4,049,30
28/09/2023;Receita;43;2,849,23
13/10/2023;Despesa;39;1,101,42
21/12/2024;Receita;22;3,121,42
17/12/2023;Receita;50;2,932,78
20/04/2024;Receita;62;3,404,49
23/10/2023;Receita;42;1,532,73
14/08/2023;Despesa;55;2,261,24
28/07/2023;Despesa;45;3,237,87
17/05/2023;Receita;49;4,018,39
31/12/2024;Despesa;42;2,444,98
29/02/2024;Despesa;95;2,716,03
22/03/2024;Despesa;81;1,243,29
10/07/2024;Receita;43;3,987,82
08/05/2024;Despesa;40;2,367,17
25/06/2023;Receita;32;2,350,83
13/07/2024;Receita;99;1,702,44
16/05/2024;Receita;58;2,148,57
09/09/2024;Receita;88;1,836,34
02/03/2024;Receita;80;2,190,82
29/03/2023;Receita;87;4,720,55
21/02/2023;Receita;24;2,859,73
30/04/2024;Receita;81;3,483,66
08/08/2024;Despesa;56;4,569,28
25/01/2023;Despesa;86;2,761,53
26/10/2023;Receita;57;3,782,26
15/12/2024;Despesa;97;1,423,26
15/12/2023;Despesa;76;1,299,26
26/09/2024;Receita;21;1,280,38
12/02/2023;Receita;56;1,596,31
20/10/2023;Receita;71;2,470,88
21/07/2023;Despesa;86;4,375,18
17/08/2023;Despesa;27;3,509,36
01/03/2023;Despesa;69;3,567,86
27/04/2023;Despesa;94;3,919,72
03/01/2023;Despesa;61;2,458,45
31/10/2023;Despesa;24;3,545,04
21/02/2023;Receita;44;'2,429,37
28/12/2024;Despesa;30;2,733,33
10/04/2024;Despesa;39;4,185,26
13/05/2023;Receita;78;2,051,92
23/01/2024;Receita;72;2,157,14
25/11/2023;Receita;33;3,916,41
25/08/2024;Receita;54;1,005,23
01/12/2024;Despesa;68;1,968,22
30/03/2024;Receita;99;1,951,34
21/05/2023;Despesa;42;3,206,26
27/06/2023;Receita;79;2,439,62
08/10/2024;Despesa;73;3,140,11
07/06/2023;Receita;39;1,759,22
02/06/2024;Receita;98;2,445,82
22/10/2024;Receita;20;2,482,73
27/03/2024;Receita;55;3,926,13
14/08/2024;Despesa;71;3,705,94
06/10/2023;Receita;59;3,891,47
27/12/2023;Despesa;54;4,836,01
05/12/2023;Receita;51;1,145,42
06/11/2024;Receita;62;3,794,42
06/10/2024;Receita;79;1,299,19
19/09/2024;Receita;57;3,140,32
06/05/2024;Receita;98;3,540,72
12/01/2024;Receita;25;1,254,79
18/02/2023;Receita;58;2,004,00
09/09/2023;Despesa;81;1,773,48
02/05/2023;Despesa;91;2,326,64
24/10/2024;Despesa;88;1,644,11
23/04/2024;Receita;44;3,411,71
22/05/2024;Despesa;61;1,473,87
14/07/2023;Receita;48;2,237,72
05/09/2023;Despesa;97;4,550,43
23/06/2023;Despesa;74;3,510,46
22/08/2023;Receita;30;1,539,68
23/10/2023;Receita;28;2,683,54
26/04/2024;Receita;20;4,395,08
26/11/2023;Despesa;99;4,110,68
16/03/2023;Despesa;45;3,569,74
11/08/2024;Receita;91;3,885,52
20/03/2023;Receita;88;2,252,38
25/08/2024;Receita;55;4,195,47
13/10/2023;Receita;100;2,005,55
18/01/2023;Receita;52;3,898,15
30/11/2024;Receita;26;1,634,18
22/10/2023;Receita;68;4,461,34
02/11/2023;Receita;100;1,710,73
06/07/2024;Despesa;62;3,683,90
29/04/2024;Despesa;59;1,641,26
15/11/2024;Receita;43;1,184,73
14/09/2024;Receita;20;3,438,92
19/02/2023;Receita;51;4,901,99
01/06/2024;Receita;97;4,122,12
24/08/2023;Despesa;55;3,859,02
08/02/2024;Receita;57;1,101,38
27/09/2024;Despesa;64;2,818,57
15/08/2023;Receita;95;2,788,65
09/07/2023;Despesa;39;2,885,82
24/11/2024;Despesa;86;1,977,65
20/04/2024;Despesa;96;3,900,20
25/11/2023;Receita;67;2,948,16
07/01/2024;Receita;52;2,884,93
11/12/2024;Despesa;64;1,492,71
16/09/2024;Receita;73;2,953,54
27/12/2024;Despesa;90;2,059,29
22/12/2024;Despesa;90;1,490,90
03/10/2024;Receita;45;3,467,91
17/11/2024;Despesa;56;3,847,47
07/04/2024;Despesa;74;
05/09/2023;Despesa;82;1,951,93
29/04/2023;Receita;50;1,057,03
19/11/2024;Despesa;50;1,747,86
03/05/2024;Receita;24;3,694,66
30/12/2023;Despesa;33;4,011,85
10/08/2024;Despesa;41;3,291,19
24/01/2024;Receita;88;3,145,47
26/03/2023;Receita;89;3,828,77
27/11/2024;Despesa;46;4,017,51
06/12/2024;Despesa;46;1,567,18
14/04/2024;Receita;46;4,575,73
16/03/2023;Receita;80;1,872,21
22/03/2024;Receita;27;4,884,71
03/12/2024;Receita;97;2,997,65
26/10/2024;Despesa;85;4,343,87
25/09/2024;Receita;94;2,099,46
26/06/2023;Despesa;28;2,389,90
12/06/2023;Despesa;78;3,697,53
16/01/2023;Despesa;20;1,394,93
14/03/2024;Despesa;41;3,134,04
12/04/2024;Receita;67;4,988,24
19/08/2024;Despesa;100;4,472,43
12/10/2024;Despesa;93;4,986,04
31/01/2024;Despesa;90;1,098,18
16/10/2024;Despesa;38;1,021,99
03/09/2023;Receita;51;3,022,12
06/04/2023;Despesa;80;4,349,31
09/10/2024;Despesa;93;3,481,18
19/01/2023;Despesa;84;4,654,66
11/03/2024;Receita;57;1,464,78
25/10/2023;Receita;67;2,017,94
23/06/2024;Despesa;81;3,777,78
24/03/2023;Receita;60;1,785,49
23/04/2024;Despesa;77;3,772,34
14/11/2023;Receita;74;3,157,44
09/08/2023;Despesa;22;4,237,87
24/04/2023;Receita;25;4,029,69
13/10/2023;Despesa;100;2,859,26
19/10/2024;Receita;87;4,796,09
27/06/2024;Despesa;49;2,951,54
06/04/2023;Despesa;26;2,327,83
09/11/2023;Receita;70;4,919,34
23/11/2023;Receita;35;2,847,53
25/02/2024;Receita;30;2,573,74
09/10/2024;Receita;55;1,495,25
04/04/2023;Receita;55;1,361,80
06/07/2024;Despesa;38;2,350,15
21/12/2024;Receita;29;3,820,35
20/09/2023;Despesa;38;4,877,08
24/01/2024;Receita;87;3,992,37
06/12/2024;Receita;100;1,062,58
08/01/2024;Receita;73;2,878,41
27/04/2023;Despesa;53;2,128,84
25/09/2024;Receita;20;4,659,55
20/08/2024;Despesa;81;3,070,96
31/08/2023;Receita;77;1,191,43
08/02/2024;Receita;76;4,295,32
25/12/2024;Despesa;34;1,485,52
02/06/2024;Despesa;67;3,152,48
04/02/2023;Despesa;84;2,544,60
18/02/2024;Receita;57;2,817,58
03/04/2024;Receita;28;1,365,53
08/06/2023;Receita;20;-
24/06/2023;Despesa;98;1,507,48
16/04/2023;Receita;60;3,100,35
29/08/2023;Despesa;97;2,912,44
30/01/2023;Receitx;79;2,491,11
03/12/2023;Receita;57;4,885,76
03/07/2023;Receita;23;4,264,84
08/03/2024;Despesa;30;4,137,92
16/04/2023;Receita;73;1,837,90
12/10/2024;Despesa;48;-
30/08/2024;Despesa;20;3,909,52
04/08/2024;Despesa;22;3,964,36
15/01/2023;Despesa;35;3,376,48
03/06/2023;Despesa;30;1,970,59
09/03/2024;Receita;91;3,582,23
05/05/2023;Receita;27;2,156,58
24/03/2023;Receita;47;4,991,63
02/02/2024;Despesa;55;4,534,75
21/01/2024;Despesa;22;2,852,47
05/11/2024;Despesa;72;2,115,30
20/02/2024;Receita;20;4,611,68
24/01/2023;Despesa;20;2,405,83
07/08/2023;Despesa;57;4,249,61
20/02/2023;Despesa;25;3,286,11
01/04/2023;Receita;30;4,760,50
06/02/2023;Despesa;23;1,447,31
29/04/2024;Despesa;70;4,908,14
12/02/2023;Despesa;96;2,839,51
06/10/2024;Despesa;29;3,215,33
04/05/2023;Despesa;34;2,631,87
02/09/2023;Receita;43;2,630,03
15/02/2023;Despesa;88;1,081,77
26/05/2023;Receita;86;1,464,20
02/12/2024;Despesa;80;2,592,39
13/05/2023;Receita;81;1,105,38
10/07/2023;Despesa;69;4,916,66
17/01/2024;Receita;59;1,402,17
02/02/2024;Despesa;67;3,190,71
24/09/2023;Despesa;73;3,545,00
29/08/2023;Despesa;73;3,997,51
19/10/2024;Receita;37;3,273,69
19/01/2024;Despesa;70;1,963,22
15/02/2024;Receita;73;4,188,46
13/05/2024;Receita;35;4,806,03
19/07/2023;Receita;52;2,537,77
25/12/2024;Despesa;51;2,926,74
14/07/2023;Despesa;96;2,143,89
26/11/2023;Despesa;57;1,184,67
13/05/2023;Despesa;20;2,004,16
24/01/2024;Despesa;23;4,460,89
23/11/2024;Receita;59;2,413,10
11/07/2024;Despesa;33;2,257,62
19/11/2023;Receita;94;4,983,99
23/06/2023;Despesa;88;4,963,38
09/07/2024;Receita;92;4,637,37
30/03/2024;Despesa;41;1,314,91
31/12/2023;Receita;46;4,404,40
29/10/2023;Receita;22;3,862,71
16/03/2024;Receita;58;2,337,28
13/05/2024;Despesa;30;1,669,44
03/09/2023;Despesa;47;4,913,04
05/02/2023;Despesa;27;2,036,36
06/11/2023;Despesa;89;1,386,23
14/07/2023;Despesa;74;2,872,09
11/01/2023;Receita;96;2,218,45
28/05/2023;Receita;22;2,086,44
24/01/2024;Despesa;77;3,509,05
26/12/2023;Receita;21;3,818,81
24/03/2024;Receita;70;3,853,92
20/01/2023;Receita;69;1,849,30
16/04/2023;Receita;89;4,174,37
16/03/2023;Despesa;47;2,128,82
07/06/2024;Receita;45;1,144,46
17/09/2024;Receita;50;3,365,66
29/04/2023;Receita;30;2,514,96
21/10/2023;Receita;43;3,511,47
29/11/2024;Receita;26;4,321,16
01/09/2024;Receita;46;4,028,90
26/06/2023;Receita;57;3,514,59
27/06/2024;Despesa;57;2,274,54
23/05/2024;Receita;51;3,881,22
23/11/2024;Receita;59;3,898,20
01/09/2024;Receita;44;1,362,50
17/10/2023;Despesa;58;1,264,35
29/12/2023;Receita;47;1,933,16
21/02/2024;Receita;34;3,393,42
01/04/2023;Receita;62;1,023,85
03/11/2023;Receita;55;3,792,55
17/04/2023;Despesa;36;2,456,26
24/07/2024;Despesa;80;4,425,49
19/02/2023;Receita;91;4,385,71
06/07/2024;Receita;68;2,400,93
05/06/2024;Receita;30;4,576,64
27/03/2023;Despesa;94;3,594,74
15/07/2023;Receita;98;4,847,27
09/01/2024;Despesa;98;4,971,21
09/03/2023;Despesa;52;1,375,60
28/10/2023;Despesa;28;4,165,09
16/11/2024;Despesa;76;1,199,77
04/05/2023;Despesa;30;4,225,18
19/04/2024;Despesa;31;4,070,77
05/11/2023;Receita;78;4,046,48
09/05/2023;Despesa;75;1,885,88
29/07/2023;Receita;59;3,480,57
31/07/2023;Despesa;94;4,249,35
02/02/2023;Despesa;53;1,428,80
17/11/2024;Despesa;82;3,326,45
11/01/2024;Receita;24;3,035,61
16/05/2023;Receita;53;3,644,84
18/07/2023;Despesa;90;1,243,32
14/08/2024;Despesa;45;2,184,95
23/01/2023;Despesa;45;2,715,30
08/07/2023;Despesa;58;4,164,82
11/03/2023;Receita;42;2,348,25
12/05/2023;Receita;51;3,268,35
15/01/2024;Despesa;33;4,325,57
06/01/2023;Receita;74;1,563,33
01/05/2024;Despesa;56;1,555,48
28/03/2023;Despesa;47;3,152,54
12/09/2024;Despesa;59;2,345,59
12/11/2023;Receita;20;4,959,70
24/07/2024;Receita;47;3,228,83
07/04/2023;Receita;46;1,387,84
04/06/2023;Receita;94;4,429,37
01/01/2023;Receita;64;4,627,98
02/01/2023;Despesa;30;3,550,67
21/05/2024;Despesa;27;2,716,58
26/02/2024;Receita;43;2,960,73
09/11/2024;Receita;36;2,137,50
06/06/2023;Receita;60;4,554,84
27/01/2024;Despesa;44;1,372,80
09/01/2023;Despesa;83;4,531,03
27/10/2024;Receita;25;4,860,90
17/12/2023;Despesa;45;2,989,60
02/10/2023;Receita;81;3,273,15
14/03/2024;Despesa;100;1,362,80
12/11/2024;Receita;79;1,396,43
19/05/2024;Receita;53;4,647,74
20/08/2023;Despesa;32;2,183,00
15/02/2024;Receita;23;4,346,60
18/09/2023;Receita;57;2,621,61
21/02/2023;Receita;27;1,860,71
03/02/2023;Receita;71;4,691,63
25/11/2024;Receita;60;2,478,82
22/12/2024;Receita;67;1,925,47
14/11/2024;Receita;26;4,144,75
15/05/2024;Despesa;50;4,554,75
04/04/2024;Receita;72;1,799,16
02/12/2024;Receita;90;3,030,62
17/10/2024;Despesa;99;1,604,91
26/08/2023;Despesa;96;3,748,50
15/10/2024;Despesa;89;1,510,00
17/07/2024;Despesa;51;1,935,91
26/09/2023;Receita;95;3,726,69
06/02/2023;Despesa;41;2,638,56
28/03/2023;Receita;89;2,039,72
31/05/2023;Receita;47;3,096,43
11/11/2023;Despesa;24;4,285,99
14/05/2024;Receita;46;3,578,63
20/12/2024;Receita;86;2,039,97
18/01/2023;Despesa;66;1,950,62
01/06/2024;Receita;50;2,165,11
30/12/2023;Receita;70;4,585,30
12/11/2024;Despesa;85;2,601,71
19/08/2023;Despesa;22;2,836,16
01/04/2023;Despesa;47;4,578,32
01/09/2024;Despesa;25;4,624,40
02/07/2024;Despesa;26;1,870,87
27/11/2024;Receita;46;4,749,14
12/04/2023;Receita;65;2,255,89
28/05/2023;Despesa;61;3,485,27
19/04/2023;Receita;27;3,597,52
01/12/2023;Receita;65;1,158,00
27/11/2024;Receita;63;4,145,87
22/02/2023;Despesa;52;1,577,54
27/12/2023;Receita;39;1,061,75
25/06/2024;Despesa;89;1,739,72
03/04/2024;Despesa;77;4,532,63
14/01/2023;Despesa;92;1,336,16
27/10/2023;Receita;41;1,224,99
21/03/2024;Despesa;85;4,195,93
31/07/2023;Despesa;92;2,025,86
30/08/2024;Receita;64;2,635,00
18/02/2023;Receita;22;1,912,89
08/04/2023;Despesa;77;1,051,99
15/03/2024;Despesa;35;1,576,71
06/06/2024;Receita;28;2,774,58
22/05/2024;Despesa;50;1,198,76
06/12/2024;Receita;34;2,497,01
21/12/2024;Receita;48;4,734,84
02/08/2024;Receita;86;2,630,23
16/10/2023;Despesa;46;4,825,85
04/03/2024;Despesa;52;4,830,32
11/09/2023;Despesa;71;4,984,79
26/12/2023;Despesa;58;2,469,30
09/03/2024;Receita;91;4,423,40
11/06/2024;Despesa;24;3,380,58
25/11/2023;Receita;76;1,899,57
21/12/2023;Despesa;56;3,026,65
10/11/2023;Despesa;86;1,578,03
22/12/2023;Receita;64;4,703,98
03/03/2024;Despesa;97;3,315,82
08/11/2023;Receita;39;1,098,04
26/02/2024;Despesa;86;4,901,33
17/02/2023;Receita;78;2,358,15
01/01/2024;Receita;99;1,943,36
02/09/2023;Receita;39;1,534,80
28/03/2023;Despesa;61;1,273,43
22/11/2024;Despesa;47;3,647,43
13/05/2024;Receita;50;3,120,85
25/02/2023;Despesa;35;1,908,23
08/08/2024;Despesa;42;3,742,18
24/09/2024;Despesa;60;2,787,12
26/10/2024;Despesa;94;2,453,53
20/06/2024;Despesa;49;1,312,37
15/01/2023;Receita;25;4,837,76
07/12/2024;Despesa;33;1,832,81
06/12/2024;Despesa;31;3,849,06
22/02/2023;Receita;56;2,385,55
15/08/2024;Receita;25;4,368,79
22/08/2024;Receita;100;1,545,11
16/04/2023;Despesa;30;4,756,45
15/01/2024;Despesa;54;1,044,79
13/12/2024;Despesa;81;3,681,72
02/04/2024;Despesa;61;2,324,98
28/06/2024;Receita;66;4,500,95
21/03/2024;Receita;73;1,249,85
06/11/2024;Receita;100;1,194,51
10/10/2023;Despesa;51;4,758,05
08/12/2023;Receita;55;3,704,26
14/08/2024;Receita;39;2,967,29
07/10/2024;Despesa;37;2,057,28
16/09/2023;Receita;47;2,797,62
11/03/2023;Receita;31;1,980,16
10/02/2023;Receita;72;4,626,73
21/06/2024;Receita;67;3,272,22
20/02/2024;Despesa;68;4,596,90
20/11/2023;Receita;96;1,469,52
11/12/2023;Receita;93;1,398,32
03/08/2024;Despesa;25;2,499,13
01/07/2024;Receita;79;1,309,04
09/12/2024;Despesa;24;2,101,86
30/07/2023;Receita;34;4,866,58
01/04/2024;Despesa;79;4,684,28
26/07/2023;Receita;94;1,095,59
13/08/2023;Despesa;47;1,968,29
01/06/2024;Despesa;80;1,414,13
24/10/2023;Despesa;38;1,039,21
21/04/2023;Despesa;53;1,890,45
24/04/2024;Receita;62;2,951,99
22/02/2023;Receita;90;2,779,31
24/10/2024;Despesa;100;2,008,12
08/05/2023;Receita;63;4,252,88
07/02/2023;Receita;94;4,585,98
18/11/2024;Despesa;23;2,610,03
06/08/2024;Despesa;64;4,705,22
13/06/2024;Despesa;51;4,922,72
26/09/2024;Despesa;22;3,312,99
24/06/2024;Despesa;60;1,004,82
19/01/2024;Despesa;67;1,503,18
04/01/2023;Despesa;20;1,229,31
14/01/2023;Receita;99;3,983,07
06/02/2024;Despesa;36;3,825,69
05/02/2023;Despesa;75;3,892,11
03/04/2023;Despesa;47;2,123,83
14/12/2024;Despesa;88;4,809,32
29/12/2023;Despesa;100;4,473,02
29/06/2024;Despesa;78;3,684,25
07/06/2024;Despesa;46;1,619,94
31/05/2024;Receita;60;3,473,13
15/04/2024;Despesa;44;2,610,19
15/07/2024;Receita;54;4,905,51
14/06/2024;Despesa;89;4,211,26
14/04/2023;Despesa;22;4,647,78
04/04/2023;Despesa;91;4,266,05
02/12/2024;Despesa;28;3,388,85
24/09/2023;Despesa;77;1,344,16
24/10/2023;Receita;74;2,117,54
29/03/2023;Receita;81;4,323,19
01/11/2024;Receita;46;4,567,92
29/04/2024;Receita;84;3,086,18
09/03/2024;Despesa;76;1,494,08
08/11/2023;Receita;80;4,824,89
01/05/2024;Despesa;86;3,708,50
11/11/2024;Despesa;41;4,349,52
26/01/2023;Despesa;57;1,580,06
09/11/2023;Receita;99;3,705,17
03/07/2024;Receita;76;1,702,66
29/11/2023;Receita;69;3,786,56
25/12/2023;Despesa;48;1,502,89
23/05/2023;Receita;89;4,835,84
03/10/2024;Receita;55;4,433,89
12/01/2024;Despesa;53;3,834,84
28/03/2023;Despesa;29;4,495,57
22/11/2023;Receita;63;3,584,31
06/12/2024;Despesa;23;4,181,42
10/08/2023;Despesa;82;4,503,31
23/02/2023;Receita;81;3,768,12
09/08/2024;Receita;96;1,394,10
14/08/2023;Despesa;69;3,991,82
18/06/2024;Receita;95;1,030,45
19/12/2024;Receita;43;4,575,79
04/01/2023;Despesa;81;4,815,05
08/06/2023;Receita;63;2,161,86
30/01/2023;Receita;98;3,001,16
29/04/2024;Receita;37;3,620,56
27/05/2023;Receita;33;2,706,51
04/08/2024;Despesa;94;4,115,73
10/09/2023;Despesa;61;1,394,68
22/02/2023;Receita;40;1,786,71
14/02/2024;Despesa;42;1,549,83
26/01/2023;Receita;69;2,304,93
10/02/2023;Despesa;77;4,891,11
13/11/2023;Receita;99;2,637,08
08/10/2024;Receita;26;1,509,96
18/10/2023;Despesa;31;2,434,83
04/08/2023;Receita;58;4,490,42
08/06/2023;Despesa;54;2,157,20
14/06/2023;Despesa;68;4,911,92
29/11/2023;Receita;53;1,271,28
21/07/2023;Despesa;71;1,141,99
24/09/2023;Despesa;24;1,310,11
13/05/2023;Receita;25;3,573,02
08/08/2024;Receita;95;1,017,08
18/08/2023;Receita;44;4,550,37
09/02/2024;Despesa;90;3,472,31
26/08/2023;Despesa;45;2,994,22
01/04/2024;Receita;41;1,312,36
21/02/2023;Despesa;90;3,310,22
30/09/2024;Receita;90;4,220,53
15/12/2024;Receita;91;4,184,58
02/02/2024;Despesa;65;4,141,44
14/05/2023;Receita;51;4,288,64
21/11/2024;Despesa;84;3,528,62
09/12/2023;Receita;48;1,514,80
18/12/2024;Despesa;64;3,396,70
30/08/2024;Despesa;86;3,139,42
19/01/2023;Receita;73;1,210,59
06/09/2023;Receita;80;1,902,53
